Country,year,sdgi_score,performance_tier,sdg8_income,sdg8_unemp,sdg8_inwork,sdg9_eurd,sdg9_digital,sdg9_bband,sdg16_cpi,sdg16_rsf,sdg16_crime,sdg4_tertiary,sdg4_adult,sdg7_eurenew,sdg13_co2gcp,sdg5_empgap,sdg10_gini
Austria,2015,75.3,2,25106.0,6.0,8,3,63.0,82,76,89,13,39,14,33.0,7.73,8.0,27
Austria,2016,75.8,2,25533.0,7.0,8,3,63.0,85,75,87,12,40,15,33.0,7.73,8.0,27
Austria,2017,76.2,2,25788.0,6.0,8,3,63.0,89,75,87,11,40,16,33.0,7.93,8.0,28
Austria,2018,77.0,2,26442.0,5.0,8,3,63.0,89,76,86,10,41,15,34.0,7.55,9.0,27
Austria,2019,77.7,2,26740.0,5.0,8,3,63.0,90,77,85,8,42,15,34.0,7.67,9.0,28
Austria,2020,78.1,2,26779.0,6.0,7,3,63.0,90,76,84,6,41,12,37.0,6.99,8.0,27
Austria,2021,77.5,2,28939.0,6.0,8,3,63.0,95,74,84,6,42,15,35.0,7.38,9.0,27
Austria,2022,77.1,2,31052.0,5.0,8,3,63.0,93,71,77,6,43,16,34.0,6.89,8.0,28
Austria,2023,77.3,2,32502.0,5.0,8,3,65.0,95,71,77,7,44,17,41.0,6.55,8.0,28
Austria,2024,77.3,2,32502.0,5.0,8,3,65.0,95,71,75,7,44,17,41.0,6.55,8.0,28
Baltic States,2015,64.8,0,13932.0,9.0,10,1,51.0,75,60,83,8,47,7,30.0,5.76,4.0,36
Baltic States,2016,65.7,1,14647.0,8.0,9,1,51.0,77,61,82,7,47,8,30.0,6.07,3.0,35
Baltic States,2017,66.2,1,15157.0,7.0,9,1,51.0,79,61,81,8,48,9,31.0,6.34,3.0,35
Baltic States,2018,66.5,1,16096.0,6.0,8,1,51.0,82,62,80,6,48,9,31.0,6.38,4.0,35
Baltic States,2019,67.6,1,17147.0,6.0,9,1,51.0,85,62,81,5,48,10,32.0,5.51,3.0,34
Baltic States,2020,68.7,1,17908.0,8.0,9,1,51.0,86,62,82,4,49,9,32.0,4.9,3.0,34
Baltic States,2021,68.9,1,19123.0,7.0,9,1,51.0,89,63,81,4,51,11,35.0,5.23,3.0,34
Baltic States,2022,69.0,1,19707.0,6.0,9,1,51.0,90,64,84,4,51,12,36.0,5.24,2.0,35
